n,Sample_ID,Date,Date_n,C_species,C_species_n,Site,Location,Location_n,Pool_type,d13C,F14C,1sig_a,C14_age,1sig_b,C14_input,young_soln,young_soln+sd,young_soln-sd,old_soln,old_soln+sd,old_soln-sd,p_10y,p_50y,p_100y,p_300y,p_500y,p_1000y
42,LL02-DOC-041114,04/11/2014,Nov-14,DOC,a,LL02,Loch Leir,b,Natural,-27.736,1.076358,0.004924,NA,NA,ranges2014-10ky,6.44,6.98,5.93,82.4,76.86,87.53,8.07,34.34,56.8819,91.9836,98.5096,99.9778
43,LL03-DOC-041114,04/11/2014,Nov-14,DOC,a,LL03,Loch Leir,b,Natural,-26.24,1.029799,0.004715,NA,NA,ranges2014-10ky,0.59,1.2,166.85,158.06,148.91,NA,4.29,19.69,35.5015,73.1683,88.8379,98.7541
44,P6-DOC-051114,05/11/2014,Nov-14,DOC,a,P06,Cross Lochs,a,Natural,-27.407,1.04687,0.004793,NA,NA,ranges2014-10ky,2.99,3.63,2.3,123.76,114.89,138.49,5.45,24.42,42.8835,81.3669,93.9213,99.6305
45,P4-DOC-051114,05/11/2014,Nov-14,DOC,a,P04,Cross Lochs,a,Natural,-26.507,1.039729,0.004761,NA,NA,ranges2014-10ky,1.95,2.65,1.26,134.95,133.01,148.02,5.01,22.65,40.1678,78.5808,92.3321,99.412
46,P1-DOC-051114,05/11/2014,Nov-14,DOC,a,P01,Cross Lochs,a,Natural,-27.024,0.999308,0.004588,6,37,ranges2014-10ky,NA,NA,NA,232.79,221.33,267.74,2.93,13.83,25.7518,59.0685,77.4353,94.9083
47,P7-DOC-051114,05/11/2014,Nov-14,DOC,a,P07,Cross Lochs,a,Restoration,-29.002,1.046599,0.004799,NA,NA,ranges2014-10ky,2.95,3.6,2.26,123.81,115.38,139.27,5.44,24.42,42.8709,81.3546,93.9146,99.6297
48,P9-DOC-051114,05/11/2014,Nov-14,DOC,a,P09,Cross Lochs,a,Restoration,-28.756,1.070732,0.004896,NA,NA,ranges2014-10ky,5.86,6.37,5.33,88.43,83.25,95.01,7.54,32.42,54.3359,90.4781,98.0145,99.9606
49,P10-DOC-051114,05/11/2014,Nov-14,DOC,a,P10,Cross Lochs,a,Restoration,-28.96,1.084924,0.00496,NA,NA,ranges2014-10ky,7.38,7.92,6.84,72.99,68.11,78.31,9.06,37.8,61.3109,94.2088,99.1331,99.9925
50,P1-EdT,NA,NA,Sed,g,P01,Cross Lochs,a,Natural,-26.881,0.760774,0.003323,2196,35,ranges2014-10ky,NA,NA,NA,1690.35,1676.58,1704.35,0.41,2.03,4.0177,11.5753,18.5378,33.6391
51,P5-EdT,NA,NA,Sed,g,P05,Cross Lochs,a,Natural,-25.138,0.927357,0.004258,606,37,ranges2014-10ky,NA,NA,NA,598.64,594.21,603.13,1.15,5.62,10.9336,29.3451,43.9506,68.5847
