Site,Location,Date,Date_n,C_species,C_species_n,Pool_type,F14C,yBSD,d13C,Depth,Area,Perimeter,r_time,d_area,DOC_conc,POC_conc,CO2_conc,CH4_conc,pH,EC,DO,Temp,WTD
P10,Cross Lochs,15/09/2015,Sep-15,CO2,c,Restoration,1.045541,71.93,-17.366,39,4,8,0.5,1264,25.9467,1.0477,4.2061,12.94,4.28,71,7.63,12.74,2.5
LL02,Loch Leir,04/11/2014,Nov-14,DOC,a,Natural,1.076358,46.49,-27.736,37.8,80.3,37.4,,,,,,,,,,,
LL03,Loch Leir,04/11/2014,Nov-14,DOC,a,Natural,1.029799,157.755,-26.24,46.4,174,67.7,,,,,,,,,,,
LL08,Loch Leir,04/11/2014,Nov-14,DOC,a,Restoration,1.067301,52.46,-29.112,,7,9,,,,,,,,,,,
LL11,Loch Leir,04/11/2014,Nov-14,DOC,a,Restoration,1.080651,44.525,-28.664,,10,7,,,,,,,,,,,
LL02,Loch Leir,04/11/2014,Nov-14,POC,b,Natural,1.004758,225.085,-26.1,37.8,80.3,37.4,,,,,,,,,,,
LL03,Loch Leir,04/11/2014,Nov-14,POC,b,Natural,0.990905,269.68,-25.441,46.4,174,67.7,,,,,,,,,,,
LL08,Loch Leir,04/11/2014,Nov-14,POC,b,Restoration,0.936968,519.49,,,7,9,,,,,,,,,,,
LL11,Loch Leir,04/11/2014,Nov-14,POC,b,Restoration,0.958319,382.915,-26.746,,10,7,,,,,,,,,,,
LL02,Loch Leir,04/11/2014,Nov-14,CO2,c,Natural,1.012878,214.39,-10.888,37.8,80.3,37.4,,,,,,,,,,,
LL03,Loch Leir,04/11/2014,Nov-14,CO2,c,Natural,1.018685,189.45,-11.74,46.4,174,67.7,,,,,,,,,,,
LL08,Loch Leir,04/11/2014,Nov-14,CO2,c,Restoration,1.044783,72.265,-20.535,,7,9,,,,,,,,,,,
LL11,Loch Leir,04/11/2014,Nov-14,CO2,c,Restoration,0.978477,343.63,-13.667,,10,7,,,,,,,,,,,
MUN01,Munsary,17/09/2015,Sep-15,DOC,a,Natural,1.066513,53.17,-25.53,38.15,55,36,,,,,,,,,,,
